Preferred Label;Synonyms;Definitions
severe congenital neutropenia;;DOID:0050590
severe nonproliferative diabetic retinopathy;Severe NPDR|High risk non proliferative diabetic retinopathy;
severe pre-eclampsia;postpartum severe pre-eclampsia|Severe pre-eclampsia, with delivery|antepartum severe pre-eclampsia|severe preeclampsia;A pre-eclampsia that has_symptom at least one of the following: SBP of 160mm HG or higher or DPB of 110mm HG or higher on 2 occasions at least 6 hours apart, proteinuria more than 5g in a 24-hour collection, pulmonary edema or cyanosis, oliguria, persistent headaches, epigastric pain and/or impaired liver function, thrombocytopenia, oligohydramnios, decreased fetal growth or placental abruption.
sex cord-gonadal stromal tumor;Sex Cord-Stromal neoplasm|malignant testicular sex cord-stromal tumor|Sex Cord-Stromal tumor|Specialized gonadal neoplasm morphologic abnormality|Specialized gonadal neoplasm NOS morphologic abnormality|Specialized gonadal tumor qualifier value|Sex cord-stromal tumor, no ICD-O subtype morphologic abnormality|Sex cord stromal tumour;A reproductive organ cancer that is located_in the sex cord-derived tissues of the ovary and testis.
sex cord-stromal neoplasm;Sex Cord-Stromal tumor of testis;
sex differentiation disease;sex differentiation disorder|disorder of sexual differentiation disorder;
sexual disorder;;A disease of mental health that involves the impairment in normal sexual functioning.
sexual dysfunction;;
sexual masochism;;
sexual sadism;;
Sezary's disease;Sezary disease|Sezary syndrome;
Sezary's disease involving intra-abdominal lymph nodes;Szary's disease of intra-abdominal lymph nodes disorder|Sezary's disease of intra-abdominal lymph nodes disorder;
Sezary's disease involving intrapelvic lymph nodes;Sezary's disease of intrapelvic lymph nodes disorder|Szary's disease of intrapelvic lymph nodes disorder;
Sezary's disease involving intrathoracic lymph nodes;Sezary's disease of intrathoracic lymph nodes disorder|Szary's disease of intrathoracic lymph nodes disorder;
Sezary's disease involving lymph nodes of axilla and upper limb;Szary's disease of lymph nodes of axilla and/or upper limb disorder|Sezary's disease of lymph nodes of axilla and upper limb disorder;
Sezary's disease involving lymph nodes of head, face, and neck;Sezary's disease involving lymph nodes of head, face and neck|Szary's disease of lymph nodes of head, face and/or neck disorder|Sezary's disease of lymph nodes of head, face and neck disorder;
Sezary's disease involving lymph nodes of inguinal region and lower limb;Szary's disease of lymph nodes of inguinal region and/or lower limb|Sezary's disease of lymph nodes of inguinal region and lower limb disorder;
Sezary's disease involving lymph nodes of multiple sites;;
Sezary's disease involving spleen;Szary's disease of spleen disorder|Sezary's disease of spleen disorder;
shared paranoid disease;Shared psychotic disorder|Shared paranoid disorder|Induced psychotic disorder;
Sheehan syndrome;Postpartum Hypopituitarism|Sheehan's syndrome;
shellfish allergy;;A food allergy triggered by Crustacea or Mollusca.
shigellosis;bacillary dysentery|Shigella boydii infectious disease|Shigella sonnei infectious disease|Shigella flexneri infectious disease|Shigella gastroenteritis;A primary bacterial infectious disease that results_in infection located_in epithelium of colon, has_material_basis_in Shigella boydii, has_material_basis_in Shigella dysenteriae, has_material_basis_in Shigella flexneri, or has_material_basis_in Shigella sonnei, which produce toxins that can attack the lining of the large intestine, causing swelling, ulcers on the intestinal wall, and bloody diarrhea. The bacteria are transmitted_by ingestion of food and water contaminated with feces.
shipyard eye;EKC|Epidemic keratoconjunctivitis;
short bowel syndrome;acquired short bowel syndrome|short gut syndrome;
short chain acyl-CoA dehydrogenase deficiency;;A lipid metabolism disorder that is characterized by deficiency of the enzyme short chain acyl-CoA dehydrogenase that results in the inability to convert short chain fatty acids.
short QT syndrome;;A heart conduction disease that is characterized by heart arrhythmia defined as a short QT interval on an EKG (less than 300 ms) that does not significantly change with heart rate, tall and peaked T waves, and a structurally normal heart.
short rib-polydactyly syndrome;;
short-rib thoracic dysplasia  with or without polydactyly;SRTD10;An asphyxiating thoracic dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the IFT172 gene on chromosome 2p23.
short-rib thoracic dysplasia  with or without polydactyly;SRTD11;An asphyxiating thoracic dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the WDR34 gene on chromosome 9q34.
short-rib thoracic dysplasia  with or without polydactyly;SRTD13;An asphyxiating thoracic dystrophy that has_material_basis_in homozygous mutation in the CEP120 gene on chromosome 5q23.
short-rib thoracic dysplasia  with polydactyly;SRTD14;An asphyxiating thoracic dystrophy that has_material_basis_in homozygous mutation in the KIAA0586 gene on chromosome 14q23.
short-rib thoracic dysplasia  with or without polydactyly;Majewski syndrome|polydactyly with neonatal chondrodystrophy, type II|SRPS2A|SRTD6|short rib-polydactyly syndrome type IIA;An asphyxiating thoracic dystrophy that has_material_basis_in homozygous mutation in the NEK1 gene on chromosome 4q33.
short-rib thoracic dysplasia  with or without polydactyly;SRPS5|short rib-polydactyly syndrom type V|SRTD7;An asphyxiating thoracic dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the WDR35 gene on chromosome 2p21.1.
short-rib thoracic dysplasia  with or without polydactyly;SRPS6|short rib-polydactyly syndrome type VI|SRTD8;An asphyxiating thoracic dystrophy that has_material_basis_in compound heterozygous mutation in the WDR60 gene on chromosome 7q36.
short-rib thoracic dysplasia  with or without polydactyly;renal dysplasia, retinal pigmentary dystrophy, cerebellar ataxia and skeletal dysplasia|SRTD9;An asphyxiating thoracic dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the IFT140 gene on chromosome 16p13.
shoulder impingement syndrome;Impingement syndrome of shoulder region disorder|Impingement syndrome of shoulder region|Shoulder impingement syndrome disorder [Ambiguous]|Subacromial impingement disorder;
Shwachman-Diamond syndrome;pancreatic insufficiency and bone marrow dysfunction|Shwachman-Bodian-Diamond syndrome|Shwachman syndrome;A syndrome characterized by exocrine pancreatic insufficiency, bone marrow failure and skeletal abnormalities.
Shwachman-Diamond type metaphyseal dysplasia;;
Shwartzman phenomenon;Shwartzman reaction function;
sialadenitis;Sialoadenitis;
sialolithiasis;Stone of salivary gland or duct|Salivary gland Stone|Sialolith;
sialuria;;A lysosomal storage disease characterized by increased sialic acid in the urine.|OMIM mapping confirmed by DO. [LS].
sialuria;;DOID:3659
Siberian tick typhus;North Asian tick fever NOS disorder|North Asian tick fever|North Asian tick typhus disorder|Siberian tick typhus disorder|manchurian typhus|Rickettsia sibirica spotted fever|North Asian tick fever disorder [Ambiguous];A spotted fever that has_material_basis_in Rickettsia sibirica, which is transmitted_by ticks (Dermacentor nuttalli, Dermacentor marginatus and Haemaphysalis concinna). The infection has_symptom fever, has_symptom eschar, has_symptom regional adenopathy, and has_symptom maculopapular rash.
sick building syndrome;;An extrinsic allergic alveolitis that is characterized by a set of symptoms such as headache, fatigue, eye irritation, and breathing difficulties that affect workers in modern airtight office buildings. The disease is caused by indoor pollutants (as formaldehyde fumes, particulate matter, or microorganisms), and the symptoms tend to disappear when affected individuals leave the building.
sick sinus syndrome;sinus node infection;Xref MGI.
sickle cell anemia;Hb-S/Hb-C disease|Hb SC disease|Hemoglobin S disease without crisis disorder|drepanocytosis|hemoglobin SC disease|Hb-SS disease without crisis|Sickle-cell/Hb-C disease without crisis;OMIM mapping confirmed by DO. [LS].
sickle cell trait;Hb-S trait|Sickle cell trait disorder|Sickle-cell trait|Haemoglobin S trait;
sickle-cell crisis;Sickle cell anemia with crisis disorder|Hb-S disease with mention of crisis|Hemoglobin S disease with crisis disorder|Hemoglobin SS disease with crisis disorder|sickle cell crisis;
sickle-cell/Hb-C disease with crisis;Sickle cell-hemoglobin C disease with crisis disorder;
sideroblastic anemia;Anemia, hypochromic with iron loading|ANEMIA SIDEROBLASTIC;An aplastic anemia where the bone marrow produces ringed sideroblasts rather than healthy red blood cells (erythrocytes).
sideroblastic anemia with spinocerebellar ataxia;ASAT;OMIM mapping confirmed by DO. [LS].
siderosis;pulmonary siderosis;
siderosis of eye;Siderosis of globe;
sigmoid colon cancer;malignant tumor of sigmoid colon disorder|Ca sigmoid colon disorder|Ca sigmoid colon;
sigmoid disease;;
sigmoid neoplasm;neoplasm of sigmoid colon disorder|tumor of sigmoid colon disorder;
signet ring basal cell carcinoma;skin signet ring cell basal cell carcinoma;
signet ring cell adenocarcinoma;Signet ring carcinoma NOS morphologic abnormality|Signet ring cell carcinoma morphologic abnormality|Signet ring cell carcinoma|Signet Ring cell adenocarcinoma;An adenocarcinoma that derives_from epithelial cells originating in glandular tissue, which have signet ring appearance.
signet ring cell intrahepatic cholangiocarcinoma;;
signet ring cell variant cervical mucinous adenocarcinoma;;
silent myocardial infarction;Silent myocardial infarction|Silent myocardial infarction disorder;
silicosis;Silicotic fibrosis of lung|Pneumoconiosis due to silicates|silicotuberculosis|Silica pneumoconiosis;A pneumoconiosis that is an inflammation and scarring of the uper lobes of the lungs causing nodular lesions resulting from inhalation of silica, quartz or slate particles.
silo filler's disease;Silo-fillers' disease|silo filler disease;
Silverman-Handmaker type dyssegmental dysplasia;;An osteochondrodysplasia characterized by short-limbed dwarfism, anisospondyly, and neonatal lethality that has_material_basis_in homozygous or compound heterozygous mutation in the HSPG2 gene on chromosome 1p36.
Silver-Russell syndrome;Silver Russell Dwarfism;OMIM mapping confirmed by DO. [LS].
simian acquired immunodeficiency syndrome;simian lymphoproliferative syndrome|SAIDS;A viral infectious disease that results_in infection in primates and monkeys, has_material_basis_in Simian immunodeficiency virus, which is transmitted_by sexual contact, and transmitted_by ingestion of virus-infected milk. The infection The virus attacks the immune system leading to severe depletion of CD4+ T cells.
simple chronic conjunctivitis;;
simple paranoid state;Paranoid state, simple;
simple partial epilepsy;;
simple type schizophrenia chronic state;;
simple type schizophrenia chronic state with acute exacerbation;;
simple type schizophrenia in remission;;
simple type schizophrenia subchronic state;;
simple type schizophrenia subchronic state with acute exacerbation;;
Simplexvirus infectious disease;;A viral infectious disease that results_in infection in animals and humans, has_material_basis_in Simplexvirus.
Simpson-Golabi-Behmel syndrome;DGSX Golabi-Rosen syndrome|Sara Angers syndrome|bulldog syndrome|SGB syndrome|Simpson dysmorphia syndrome|X-linked dysplasia gigantism syndrome|Golabi-Rosen syndrome;An X-linked disease characterized by pre- and postnatal overgrowth and craniofacial, skeletal, cardiac and renal abnormalities.|NT MGI.
simultanagnosia;;An agnosia that is a loss of the ability to recgonize a whole image or scene while retianing the ability to recognize objects or details in their visual field one at a time.
single episode manic disease moderate degree;;
single episode manic disorder;;
single episode manic disorder mild degree;;
single episode mild major depression;Single major depressive episode, mild disorder|Mild major depression, single episode disorder|Major depressive disorder, single episode, mild degree;
single episode moderate major depression;Major depressive disorder, single episode, moderate degree|Single major depressive episode, moderate disorder|Moderate major depression, single episode disorder;
single major depressive episode in full remission;Major depressive disorder, single episode in full remission|Single major depressive episode, in full remission disorder;
single manic episode in full remission;Single manic episode in full remission disorder|Manic disorder, single episode, in full remission;
sinoatrial node disease;SA node|sinuatrial node;A heart conduction disease that is characterized by dysfunction of the impulse-generating (pacemaker) tissue located in the right atrium of the heart which generates normal sinus rhythm.
sinonasal papilloma;Schneiderian papilloma;
sinusitis;;A paranasal sinus disease involving inflammation of the paranasal sinuses resulting from bacterial, fungal, viral infection, allergic or autoimmune issues. Symptoms can include fever, weakness, fatigue, cough and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.
site specific early onset breast cancer syndrome;;
sitosterolemia;phytosterolemia;An intestinal disease that is characterized by autosomal recessive inheritance of unrestricted intestinal absorption of both cholesterol and plant-derived cholesterol-like molecules resulting in xanthomas, arthralgia, premature atherosclerosis, and hemolytic anemia with stomatocytosis and macrothrombocytopenia that has_material_basis_in homozygous or compound heterozygous mutation in the ABCG8 gene or in the ABCG5 gene, both of which are located on chromosome 2p21.
situs inversus;situs inversus viscerum disorder|Laterality sequence disorder|Complete transposition morphologic abnormality;OMIM mapping confirmed by DO. [LS].
Sjogren-Larsson syndrome;Sjogren Larsson syndrome|Sjogren-Larsson syndrome disorder|Sjogren-Larsson's syndrome;OMIM mapping confirmed by DO. [LS].
Sjogren's syndrome;Sjogren syndrome|xerodermosteosis|Sicca syndrome;A hypersensitivity reaction type II disease that involves attack of immune cells which destroy the exocrine glands that produce tears and saliva.|OMIM mapping confirmed by DO. [LS].
skeletal muscle cancer;malignant tumor of Skeletal Muscle;
skeletal muscle neoplasm;tumor of Skeletal Muscle;
skeletal system benign neoplasm;;
skeletal tuberculosis;osteoarticular tuberculosis;An extrapulmonary tuberculosis that results in formation of lesions located_in bone.
Skene gland carcinoma;paraurethral gland carcinoma|carcinoma of the paraurethral gland;
skin abnormality;;
skin amelanotic melanoma;skin amelanotic malignant melanoma;
skin angiosarcoma;angiosarcoma of skin disorder|hemangiosarcoma of the skin;An angiosarcoma and hemangioma of skin and malignant skin vascular tumor and sarcoma of skin that is located_in the skin and results_in an enlarged bruise (a blue-black nodule) and an unhealed ulceration.
skin appendage adenoma;Adnexal adenoma|skin appendage adenoma morphologic abnormality|adenoma of skin appendage;
skin appendage carcinoma;carcinoma of adnexa|skin appendage carcinoma morphologic abnormality;
skin appendage neoplasm;Adnexal and skin appendage neoplasm NOS morphologic abnormality|Adnexal and skin appendage tumor qualifier value|Adnexal and skin appendage neoplasm morphologic abnormality;
skin atrophy;atrophic condition of skin|Atrophoderma|Atrophy - skin;
skin benign neoplasm;neoplasm of skin by site|skin neoplasm|neoplasm of skin disorder|tumor of the skin;
skin cancer;CA - skin cancer|melanoma and Non-melanoma skin cancer|malignant neoplasm of skin|cancer of skin;An integumentary system cancer located_in the skin that is the uncontrolled growth of abnormal skin cells.
skin carcinoma;carcinoma of skin|carcinoma of skin;A skin cancer that is located_in tissues of the skin and develops from epithelial cells.
skin carcinoma in situ;Cutaneous carcinoma in situ|carcinoma in situ of skin;A carcinoma in situ that is characterized by the spread of cancer in skin and the lack of invasion of surrounding tissues.
skin compound nevus;compound nevus|Compound nevus morphologic abnormality|Compound nevus of skin disorder;
skin disease;skin and subcutaneous tissue disease|Genodermatosis;An integumentary system disease that is located_in skin.
skin epithelioid hemangioma;epithelioid hemangioma of skin disorder|Angiolymphoid Cutaneous hyperplasia;
skin fibrous tissue neoplasm;Cutaneous fibrous tissue neoplasm|fibrous tissue tumor of skin disorder;
skin glomangioma;Glomangioma of skin disorder|Cutaneous Glomangioma;
skin glomus tumor;Glomus skin neoplasm|Glomus tumor of skin disorder;
skin granular cell tumor;granular cell tumor of skin disorder|granular cell neoplasm of the skin;
skin hemangioma;Angiomatous naevus of skin|Angioma of the skin;
skin lipoma;Cutaneous Lipoma|cutaneous lipomatous tumor|lipoma of face|Lipoma of skin;
skin lymphoma;Cutaneous lymphoma, NOS|Cutaneous lymphoma disorder;
skin lymphoproliferative disease;Lymphoproliferative disorder of skin;
skin melanoma;malignant melanoma of ear and/or external auricular canal|malignant trunk melanoma|malignant melanoma of skin of trunk except scrotum|malignant upper limb melanoma|malignant lower limb melanoma|malignant ear melanoma|malignant neck melanoma|malignant lip melanoma|cutaneous melanoma|malignant melanoma of skin of lower limb|malignant scalp melanoma|malignant melanoma of skin of upper limb;A skin cancer that has_material_basis_in melanocytes.|Xref MGI.
skin melanoma;;DOID:8923
skin meningioma;primary meningioma of the skin;
skin papilloma;Cutaneous papilloma|papilloma of skin|cutaneous papilloma|skin papilloma NOS|papilloma of skin disorder;
skin pilomatrix carcinoma;Pilomatrix carcinoma of skin disorder|malignant Pilomatricoma|Pilomatricoma, malignant|pilomatrix carcinoma of skin;
skin sarcoidosis;Cutaneous sarcoid|Cutaneous Sarcoidosis|Cutaneous sarcoidosis disorder;
skin sarcoma;Cutaneous sarcoma;
skin squamous cell carcinoma;Epidermoid skin carcinoma|squamous cell carcinoma of skin;A skin carcinoma that has_material_basis_in squamous cells.
skin tag;Fibroepithelial polyp of skin|Fibroepithelial polyp|soft fibroma|cutaneous tag;
skin tumor of neural origin;skin tumor of neural origin disorder|neural tumor of the skin;
skin tumor of smooth muscle origin;Smooth Muscle skin neoplasm|skin tumor of smooth muscle origin disorder;
skull base chordoma;Chordoma of the Skull Base;A chordoma that is located_in the skull base.
skull base meningioma;meningioma of the Skull Base;
skull base neoplasm;tumors of Skull Base;
skull cancer;;
slate pneumoconiosis;Schistosis;
sleep apnea;;A sleep disorder characterized by repeated cessation and commencing of breathing that repeatedly disrupts sleep.
sleep arousal disorder;;
sleep disorder;Non-organic sleep disorder;A disease of mental health that involves disruption of sleep patterns.
sleeping sickness;African sleeping sickness|African trypanosomiasis;A trypanosomiasis that results from infection by Trypanosoma brucei and gambiense, which is transmitted by the bite of an infected tsetse fly (Glossina spp). The symptoms include fever, headache, joint pain, itching, confusion, sensory disturbances, poor coordination and sleep disturbances.
Sly syndrome;MPS VII - Sly syndrome|deficiency of beta-glucuronidase|mucopolysaccharidosis VII|beta-glucuronidase deficiency;A mucopolysaccharidosis characterized by a deficiency of the lysosomal enzyme beta-glucuronidase resulting in the inability to degrade glucuronic acid-containing glycosaminoglycans.|OMIM mapping confirmed by DO. [SN].
SM-AHNMD;systemic mastocytosis with associated clonal haematological non-mast cell lineage disease|systemic mastocytosis with associated clonal, hematologic non-mast-cell lineage disease morphologic abnormality;
small bowel fibrosarcoma;Fibrosarcoma, small Intestine;A fibrosarcoma of soft tissue and small intestinal sarcoma that is located_in the small bowel.
small cell carcinoma;intermediate cell small cell carcinoma|Small cell carcinoma, intermediate cell morphologic abnormality|Small cell carcinoma - intermediate cell;A carcinoma that is an undifferentiated neoplasm composed of primitive-appearing cells.
small cell neuroendocrine carcinoma;;
small cell osteogenic sarcoma;Round cell osteosarcoma|small cell Osteosarcoma;
small cell sarcoma;;
small intestinal delta cell somatostatin producing tumor;;
small intestinal gastrinoma;small intestinal G-cell gastrin producing tumor;
small intestinal L-cell glucagon-like peptide producing tumor;;
small intestinal sarcoma;sarcoma of the Small Intestine;A sarcoma and malignant tumor of small intestine that is located_in the small intestine.
small intestinal vasoactive intestinal peptide producing tumor;small intestinal VIP Producing tumor;
small intestine adenocarcinoma;small intestinal adenocarcinoma|adenocarcinoma of small Intestine;A small intestine carcinoma that derives_from epithelial cells of glandular origin.
small intestine cancer;;An intestinal cancer that is located_in the small intestine.
small intestine carcinoid neuroendocrine tumor;;A small intestine cancer that has_material_basis_in cells of the neuroendocrine system.
small intestine carcinoma;small intestinal carcinoma|cancer of the small bowel|small bowel cancer;A small intestine cancer that develops from epithelial cells and is located_in the small intestine.
small intestine diverticulitis;Diverticulosis of small intestine with hemorrhage;
small intestine leiomyoma;leiomyoma, small Bowel;
small intestine leiomyosarcoma;leiomyosarcoma of the small Bowel|smooth muscle connective tissue tumor;A small intestine sarcoma that affects the involuntary smooth muscles of the small intestines.
small intestine lymphoma;small intestinal Lymphoma;
small intestine neoplasm;small intestinal neoplasm|neoplasm of small intestine disorder;
small intestine neuroendocrine neoplasm;small Intestine neuroendocrine tumor;
smallpox;Ordinary smallpox;A viral infectious disease that results_in infection located_in skin, has_material_basis_in Variola virus, which is transmitted_by droplets from oral, nasal or pharyngeal mucosa, transmitted_by contact with the body fluids, or transmitted_by fomites. The infection results_in_formation_of lesions, first on the face, hands and forearms and later on the trunk.
Smith-Lemli-Opitz syndrome;Rutledge lethal multiple congenital anomaly syndrome|Smith-Opitz-Inborn syndrome;OMIM mapping confirmed by DO. [LS].
Smith-Magenis syndrome;17p11.2 microdeletion syndrome|chromosome 17p11.2 deletion syndrome;A chromosome deletion syndrome characterized by mild-to-moderate infantile hypotonia, minor skeletal anomalies, prepubertal short stature, brachydactyly, ophthalmologic and otolaryngologic abnormalities, peripheral neuropathy, developmental delay, cognitive impairment, and behavioral abnormalities that has_material basis_in a 3.7-Mb interstitial deletion in chromosome 17p11.2 or sometimes by mutations in the RAI1 gene in the same region.
Smith-McCort dysplasia;;An osteochondrodysplasia characterized by short limbs and a short trunk with a barrel-shaped chest and has material basis in homozygous or compound heterozygous mutation in the DYM gene on chromosome 18q.|NT MGI.
smoldering myeloma;;A multiple myeloma that is a slow growing type of myeloma in which abnormal plasma cells results_in too much of a single type of monoclonal antibody.
smooth muscle cancer;malignant tumor of Smooth Muscle;
smooth muscle tumor;;
snail allergy;;A mollusc allergy triggered by snails.
Sneddon syndrome;Idiopathic livedo reticularis with systemic involvement disorder;
snowshoe hare encephalitis;;A California virus encephalitis that results_in inflammation located_in brain, has_material_basis_in Snowshoe hare virus, which is transmitted_by Aedes mosquitoes. The infection has_symptom headache, has_symptom fever, has_symptom anorexia, and has_symptom seizures.
social emotional agnosia;expressive agnosia;An agnosia that is a loss of the ability to perceive facial expression, body language and intonation, rendering them unable to non-verbally perceive people's emotions and limiting that aspect of social interaction.
social phobia;;A phobic disorder that involves social anxiety occurring only in specific public or social situations, interactions with others or being evaluated or scrutinized by other people.
sodoku disease;Spirillary fever|Spirillosis;A primary bacterial infectious disease that results_in infection, has_material_basis_in Spirillum minus, which is transmitted_by contact with urine or secretions from the mouth, eye, or nose of an infected animal or transmitted_by bite of an infected animal, especially rat. The infection has_symptom chills, has_symptom relapsing fever, has_symptom rash and has_symptom joint pain.
soft palate cancer;malignant tumor of the soft Palate|malignant tumor of soft palate disorder;
soft tissue cancer;;
soft tissue disease;disease of deep fascial system|Connective and soft tissue disease|Connective and soft tissue disorder|tissue disease;
soft tissue peripheral neuroepithelioma;peripheral Neuroectodermal tumor of soft tissues;
solar retinopathy;Solar retinitis;
soldiers heart;NEUROCIRCULATORY ASTHENIA|IRRITABLE HEART|MITRAL VALVE PROLAPSE SYNDROME|ORTHOSTATIC INTOLERANCE;OMIM mapping confirmed by DO. [SN].
solid alveolar rhabdomyosarcoma;;OMIM mapping confirmed by DO. [SN].
solid carcinoma;solid carcinoma with mucin formation|solid carcinoma NOS morphologic abnormality;
solid carcinoma of lung with mucus formation;pulmonary solid adenocarcinoma with Mucin;
solid pattern testicular yolk sac tumor;;
solitary cyst of breast;Solitary cyst of breast|Solitary Cyst of the breast|Solitary cyst of breast disorder;
solitary osseous plasmacytoma;Solitary plasmacytoma of bone|Isolated osseous plasmacytoma;
solitary plasmacytoma of chest wall;Solitary plasmacytoma of the Chest Wall;
somatization disorder;Somatisation disorder|Briquet's disorder|Polysomatising disorder;A somatoform disorder that involves persistently complaints of varied physical symptoms that have no identifiable physical origin.
somatoform disorder;physiological malfunction arising from mental factor|psychophysiologic disorder|psychosomatic disorder;A disease of mental health that involves physical symptoms suggesting a physical illness where the biological or medical cause of the symptoms is indeterminate.
somatosensory disorder;;
somatostatinoma;Somatostatin cell tumour|Somatostatin cell neoplasm;
Sorsby's fundus dystrophy;SFD|hemorrhagic macular dystrophy|pseudoinflammatory fundus dystrophy of Sorsby;A hereditary retinal dystrophy characterized by autosomal dominant inheritance of loss of central vision as a result of macular disease by the fourth to fifth decade and peripheral visual loss in late life that has_material_basis_in heterozygous mutation in the TIMP3 gene on chromosome 22q12.
SOST-related sclerosing bone dysplasia;van Buchem disease;A hyperostosis that has_material_basis_in a mutation in the SOST gene which results_in overgrowth of endosteal bone producing dense and wide bones throughout the body especially located_in skull.
Sotos syndrome;cerebral gigantism;An autosomal recessive disease that occurs rarely and is characterized by excessive physical growth during the first 2 to 3 years of life.|Xref MGI.
space motion sickness;;
sparganosis;Infection by Sparganum|Sparganosis [larval diphyllobothriasis];A parasitic helminthiasis infectious disease that involves parasitic infection by the genus Spirometra. A painful nodule develops after the plerocercoid larvae migrate to the brain causing cerebral sparganosis. Subcutaneous tissue, breast, orbit, urinary tract, pleural cavity, lungs, abdominal viscera and inner ear can be infected.
spasmodic dystonia;laryngeal dystonia;A focal dystonia that involves the muscles that control the vocal cords, resulting in strained or breathy speech.
spastic ataxia;;
spastic ataxia ;;
spastic ataxia ;;
spastic ataxia ;;
spastic ataxia ;;
spastic ataxia ;;
spastic ataxia ;;
spastic cerebral palsy;;A cerebral palsy that is caused by damage in the outer layer of the brain, the cerebral cortex, which results in increased tone, or tension, in a muscle causing abnormal movements.
spastic diplegia;Infantile spastic cerebral palsy|infantile diplegic cerebral palsy|Little's disease|cerebral spastic infantile paralysis|Littles disease|Diplegic infantile cerebral palsy;A spastic cerebral palsy that affects lower extremities resulting in tight leg and hip muscles. The legs cross at the knees, making it difficult to walk.
spastic ectropion;;
spastic entropion;;
spastic hemiplegia;Hemiplegic infantile cerebral palsy|hemiplegic cerebral palsy|Hemiplegic cerebral palsy|spastic hemiplegic cerebral palsy|Congenital hemiplegia;A spastic cerebral palsy that affects one side of the body resulting in stiff arm, hand and leg. On the affected side,the arm and leg may not develop normally.
spastic monoplegia;infantile monoplegic cerebral palsy|spastic monoplegic cerebral palsy|Monoplegic infantile cerebral palsy;A spastic cerebral palsy that affects only one limb.
spastic quadriplegia;spastic quadriplegic cerebral palsy|tetraplegic infantile cerebral palsy|quadriplegic infantile cerebral palsy;A spastic cerebral palsy that affects all four limbs. The individuals have difficulty with walking and talking.|Xref MGI.
specific bursitis often of occupational origin;Specific bursitis often of occupational origin disorder|Specific bursitides often of occupational origin;
specific developmental disorder;;A developmental disorder of mental health that categorizes specific learning disabilities and developmental disorders affecting coordination.
specific language impairment;;A language disorder characterized by difficulty in language acquisition despite otherwise normal development and in the absence of any obvious explanatory factors.|NT MGI.
specific phobia;simple phobia;A phobic disorder that is characterized by an unreasonable or irrational fear related to exposure to specific objects or situations.
speckled lentiginous nevus;nevus spilus disorder|Naevus spilus|Speckled lentiginous naevus;
speech disorder;;A communication disorder that involves difficulty with the act of speech production.
spermatic cord cancer;Spermatic cord Ca|malignant tumor of spermatic cord disorder|malignant tumor of the Spermatic Cord;
spermatic cord torsion;testicular Torsion|Torsion of testicle|Torsion of testis;
spermatocele;;
spermatocytoma;Spermatocytic seminoma morphologic abnormality|Spermatocytic Seminoma;
sphenocavernous meningioma;;
sphenoid sinus inverted papilloma;Inverted papilloma of the Sphenoid sinus;
sphenoid sinus Schneiderian papilloma;Schneiderian papilloma of the Sphenoid sinus;
sphenoid sinus squamous cell carcinoma;Epidermoid carcinoma of the Sphenoidal sinus;
sphenoid sinusitis;Sphenoidal sinusitis;A sinusitis which involves infection of sphenoid sinuses that causes pain or pressure behind the eyes, but often refers to the vertex of the head.
sphenoidal sinus cancer;malignant tumor of Sphenoidal sinus|malignant tumor of sphenoid sinus disorder;
sphenoidal sinus neoplasm;tumor of Sphenoidal sinus|neoplasm of sphenoidal sinus disorder;
sphenoorbital meningioma;;
spheroid body myopathy;;
sphingolipidosis;Sphingolipidosis, NOS|Sphingolipidosis disorder|sphingolipidoses;
spina bifida;;
spina bifida occulta;;
spinal accessory nerve neoplasm;neoplasm of accessory nerve disorder|XIth Cranial nerve tumors;
spinal canal and spinal cord meningioma;;
spinal canal intradural extramedullary neoplasm;Intradural Extramedullary Spinal tumors;
spinal cancer;spinal cord neoplasm|Intraspinal tumor|malignant tumor of the Spinal Cord|tumor of the Spinal Cord|spinal cord cancer|spinal neoplasm;A central nervous system cancer that is located_in the spinal cord. It is mostly formed from metastases from primary cancers elsewhere (commonly breast, prostate, and lung cancer).
spinal chordoma;Chordoma of Spine;A chordoma that derives_from the spine.
spinal cord astrocytoma;astrocytoma of spinal cord disorder|Spinal astrocytoma;
spinal cord dermoid cyst;Spinal Cord Dermoid;
spinal cord disease;myelopathy;
spinal cord ependymoma;Ependymal neoplasm of the Spinal Cord;A spinal cord glioma that has_material_basis_in cells linking the spinal cord central canal.
spinal cord glioma;Glial tumor of spinal cord disorder|glioma of spinal cord disorder|Glial neoplasm Spinal Cord;A spinal cancer that is located_in the spinal cord and has_material_basis_in glial cells.
spinal cord intramedullary teratoma;Intramedullary Spinal teratoma;
spinal cord lipoma;Lipoma of spinal cord disorder;A central nervous system lipoma that is characterized by abnormal fat accumulation in and around the spinal cord.
spinal cord lymphoma;Lymphoma of the Spinal Cord|spinal cord cancer;A spinal cancer that is located_in the spinal cord and derives_from lymphocytes.
spinal cord melanoma;melanoma of the Spinal Cord;
spinal cord neuroblastoma;neuroblastoma of the Spinal Cord;
