Preferred Label;Synonyms
retinal cone cell;
cord blood hematopoietic stem cell;
outer renal medulla loop of Henle;loop of Henle, outer medullary portion
multi-limb segment region;
pharyngeal arch mesenchyme from head mesenchyme;head mesenchyme derived arch mesenchyme|branchial arch mesenchyme from head mesenchyme|arch mesenchyme from head mesenchyme
disseminated nephrocyte;
submucosa of trachea;submucosa of windpipe|tracheal submucosa|windpipe submucosa|trachea submucosa|submucous layer of trachea
phalanx;phalange|digit long bone|long bone of digit|phalanges|phalanx bone
lymphatic vessel smooth muscle;lymph vessel smooth muscle tissue|lymphatic vessel non-striated muscle|lymph vessel involuntary muscle|smooth muscle of lymph vessel|smooth muscle tissue of lymph vessel|lymph vessel non-striated muscle|non-striated muscle of lymph vessel|involuntary muscle of lymph vessel|non-striated muscle of lymphatic vessel|smooth muscle tissue of lymphatic vessel|smooth muscle of lymphatic vessel|lymph vessel smooth muscle|lymphatic vessel smooth muscle tissue|lymphatic vessel involuntary muscle|involuntary muscle of lymphatic vessel
reticular formation;brain stem reticular formation|brainstem reticular formation|reticular formation of the brainstem|reticular formation (classical)
positive regulation of chemotaxis;
male germ line stem cell (sensu Vertebrata);spermatogonial stem cell
Fraction F mature B cell;
wall of urinary bladder;urinary bladder anatomical wall|anatomical wall of urinary bladder|bladder wall|urinary bladder wall|bladder anatomical wall|wall of bladder|anatomical wall of bladder
epithalamus mantle layer;mantle layer of epithalamus|mantle layer epithalamus
epididymis epithelium;epididymis epithelium|epithelium of epididymis
male reproductive organ;male organism reproductive structure|male organism reproductive organ|male organism reproductive system organ|male organism sex organ|male reproductive system organ|reproductive organ of male organism|reproductive system organ of male organism|male sex organ|male reproductive gland/organ|sex organ of male organism|reproductive structure of male organism
positive regulation of lymphocyte activation;
supporting cell of vestibular epithelium;
goblet cell;chalice cell
muscle layer of anal canal;muscularis externa of anal canal|muscular coat of anal canal|muscularis propria of anal canal|anal muscularis propria|muscular layer of anal canal|anal canal muscularis propria
epithelium of nasopharynx;nasopharynx epithelium|rhinopharynx epithelial tissue|epithelial tissue of nasal part of pharynx|epithelium of rhinopharynx|epithelium of nasal part of pharynx|nasal part of pharynx epithelial tissue|epithelial tissue of nasopharynx|epithelial tissue of rhinopharynx|nasal part of pharynx epithelium|rhinopharynx epithelium|nasopharynx epithelial tissue|nasopharyngeal epithelium
CD38-negative unswitched memory B cell;CD38- unswitched memory B cell|CD38-negative unswitched memory B-cell|CD38-negative unswitched memory B-lymphocyte|CD38- unswitched memory B lymphocyte|CD38- unswitched memory B-lymphocyte|CD38-negative unswitched memory B lymphocyte|CD38- unswitched memory B-cell
pilosebaceous unit;pilo-sebaceous apparatus|fabrica pilosebacea|pilo-sebaceous unit|pilosebaceous apparatus|pilosebaceous gland
cerebral blood vessel;
non-neurogenic ectodermal placode;
metanephros;metanephron|definitive kidney|definite kidney|metanephric kidney|hind kidney
integument;integumentum commune|the integument|skin plus hypodermis|dermis plus epidermis plus hypodermis|skin and subcutaneous tissue|tegument|skin|dermal system|Hautsystem@de|vertebrate integument|dermoid system
CD8_alpha-negative plasmactyoid dendritic cell;DC.pDC.8-
tendon;sinew|tendo
animal zygote;zygote
secretion by cell;
type 4 otic fibrocyte;type IV spiral ligament fibrocyte|type IV otic fibrocyte
Phasianidae;turkeys
head or neck skin;
dental follicle;dental sac|tooth follicle
hepatic stem cell;
inner epithelial layer of tympanic membrane;tympanic membrane external middle ear cavity epithelial component|mucous layer of tympanic membrane|tympanic membrane mucosa|mucosa of tympanic membrane|mucous stratum of tympanic membrane
adaptive immune response;
mucosa of anal canal;mucous membrane of anal canal viewed anatomically|anal canal viewed anatomically organ mucosa|anal region mucosa|anatomical anal canal organ mucosa|mucosa of organ of anal region|anal region organ mucosa|organ mucosa of anal canal|anal canal viewed anatomically mucosa of organ|mucosa of anatomical anal canal|mucous membrane of anal canal|anal canal viewed anatomically mucous membrane|anatomical anal canal mucous membrane|anal canal mucous membrane|anatomical anal canal mucosa|anal region mucous membrane|mucous membrane of anal region|anal canal mucosa|anal canal viewed anatomically mucosa|mucosa of anal canal viewed anatomically|organ mucosa of anatomical anal canal|anal mucosa|anal mucous membrane|mucous membrane of anatomical anal canal|mucosa of anal region|anal canal organ mucosa|mucosa of organ of anatomical anal canal|organ mucosa of anal canal viewed anatomically|mucosa of organ of anal canal viewed anatomically|anatomical anal canal mucosa of organ|mucosa of organ of anal canal|organ mucosa of anal region|anal canal mucosa of organ|anal region mucosa of organ
macula densa epithelial cell;
Petromyzontidae;lampreys|Petromyzonidae
Chelicerata;chelicerates
Bm2 B cell;Bm2 B-cell|Bm2 B lymphocyte|Bm2 B-lymphocyte
secretion by tissue;
anterior lateral line;
inner renal cortex cell;
thymus lobule;thymic lobule|lobule of thymus|thymus lobule
Fraction C precursor B cell;Fraction C
phagocyte (sensu Nematoda and Protostomia);
strial marginal cell;
heart valve cell;
pair of lungs;set of lungs|lungs pair|lungs|pulmones
obsolete collenchymal cell;
Branchiostomidae;amphioxius|amphioxi|lancelets|Branchiostomatidae
pluripotent stem cell;
Eumetazoa;
telencephalic nucleus;
mammary microvascular endothelial cell;
Colubroidea;Xenophidia
visual pigment cell (sensu Nematoda and Protostomia);
periodontium;tooth supporting structure|periodontal membrane|paradentium|periodontal ligament
parenchyma of central nervous system;central nervous system parenchyma|CNS parenchyma|parenchyma of CNS|parenchyma of central nervous system
seminiferous tubule epithelial cell;
extraglomerular mesangium;
plasma membrane bounded cell projection organization;
IgD immunoglobulin complex, circulating;
unipolar neuron;
type 2 cone bipolar cell (sensu Mus);FMB cone bipolar cell
facial lymphatic vessel;lymph vessel of face|lymphatic vessel of face|face lymph vessel|buccal lymphatic vessel|face lymphatic vessel|FL
primitive erythroid lineage cell;
scavenger receptor activity;
dorsal horn interneuron;dorsal spinal cord interneuron
ureteric bud;metanephric diverticulum|diverticulum|diverticulum metanephricum|metanephric bud|gemma ureterica|ureteric diverticulum|ureteric ampulla
regulation of peptide secretion;
type II muscle cell;type II muscle fiber|type 2 muscle cell|type 2 muscle fiber
somatic muscle cell;
basicranium;cranial base|base of cranium|base of skull|basis cranii
brain pericyte;
UV sensitive photoreceptor cell;
prechondroblast;
positive regulation of locomotion;
renal cortex artery;renal cortex artery|kidney cortex artery|renal cortex arterial system
arterial blood;portion of arterial blood|blood in artery|arterial blood
natural T-regulatory cell;natural regulatory T-cell|natural regulatory T lymphocyte|natural regulatory T cell|natural regulatory T-lymphocyte|natural Treg|nTreg
CD34-negative, GlyA-negative proerythroblast;
immunoglobulin light chain V-J recombination;
submucosa of trigone of urinary bladder;urinary bladder trigone submucosa|deep trigone submucosa|submucosa of trigone of bladder|trigone of urinary bladder submucosa|vesical trigone submucosa|Lieutaud ' s trigone submucosa|submucosa of deep trigone|submucosa of Lieutaud ' s trigone|submucosa of urinary bladder trigone|trigone of bladder submucosa|submucosa of vesical trigone
C-C chemokine receptor type 4;K5-5|CC-CKR-4|C-C CKR-4|CCR-4|CCR4|CD194|chemokine receptor CCR4|CMKBR4
epithelium of biliary system;biliary system epithelium|biliary epithelium|biliary tract epithelium
ectodermal part of digestive tract;gut ectoderm|ectodermal gut
seam cell;
nose epithelium;
intermediate epitheliocyte;undifferentiated columnar cell of tracheobronchial tree
acellular anatomical structure;acellular anatomical structures
1st arch mandibular mesenchyme from head mesenchyme;
lysosome-associated membrane protein;
pulmonary alveolar parenchyma;
presumptive segmental plate;presumptive segmental plates
organic molecular entity;
anatomical wall;wall|wall of organ|organ wall
postcranial axial skeleton;axial skeleton|post-cranial axial skeleton
positive regulation of immunoglobulin mediated immune response;
epithelium of knee;knee epithelium|knee epithelial tissue|epithelial tissue of knee
receptor-type tyrosine-protein kinase FLT3;FLK-2|Fms-like tyrosine kinase 3|FLT3|fetal liver kinase 2|tyrosine-protein kinase receptor FLT3|tyrosine-protein kinase FLT3|CD135|stem cell tyrosine kinase 1|tyrosine-protein kinase receptor flk-2|FLT-3|STK1|STK-1
obsolete fiber tracheid;
Testudines;turtles|anapsid reptiles|turtles|reptiles|Testudinata|Reptilia|Anapsida
immature dermal dendritic cell;
interstitial cell of Cajal;ICC|intestinal pacemaker cell
suppressor macrophage;
immaterial anatomical entity;immaterial physical anatomical entity
secondary heart field;second heart field|anterior heart field|anterior/second heart field|SHF
metanephric glomerular visceral epithelial cell;
autonomic nerve;nervus visceralis|visceral nerve
cellular potency;
gut-associated lymphoid tissue;gut associated lymphoid tissue|GALT
forelimb muscle;muscle of upper limb|fore limb muscle organ|free upper limb muscle|upper limb skeletal muscle|muscle of free upper limb|forelimb muscle organ|wing muscle|musculature of the arm|arm muscle system|musculature of arm
immature gamma-delta T cell;immature gamma-delta T-cell|immature gamma-delta T lymphocyte|immature gamma-delta T-lymphocyte
Nemertea;nemertines|bootlace worms|ribbon worms|Nemertini|ribbon worms
endothelial transcription factor GATA-2;GATA2|GATA-binding protein 2
pharyngeal arch 3;third visceral arch|3rd pharyngeal arch|visceral arch 3|third pharyngeal arch|gill arch 1|first gill arch|branchial arch 1|3rd arch|3rd visceral arch|first branchial arch
skeletal muscle satellite cell;
myocardial endocrine cell of interventricular septum;
pericardium;
IgG-negative double negative memory B cell;IgG-negative double negative memory B-lymphocyte|IgG- dn memory B cell|IgG-negative dn memory B lymphocyte|IgG- double negative memory B cell|IgG- dn memory B-lymphocyte|IgG-negative dn memory B-cell|IgG- double negative memory B-lymphocyte|IgG-negative double negative memory B lymphocyte|IgG- double negative memory B-cell|IgG-negative double negative memory B-cell|IgG-negative dn memory B cell|IgG- double negative memory B lymphocyte|IgG- dn memory B-cell|IgG-negative dn memory B-lymphocyte|IgG- dn memory B lymphocyte
attachment cell;
positive regulation of cellular component movement;
loose connective tissue;textus connectivus collagenosus laxus|textus connectivus laxus
positive regulation of immune effector process;
external limiting cell of vestibular epithelium;
tunica adventitia of vein;tunica externa (adventitia)(venae)|venous adventitia
glycosaminoglycan metabolic process;
metabolising cell;
muscle of leg;leg skeletal muscle tissue|leg muscle|muscle organ of leg|leg skeletal muscle|leg muscle organ|skeletal muscle of leg|muscle of thigh or crus|muscle of upper or lower hindlimb segment|muscle of upper/lower leg|muscle of hindlimb zeugopod or stylopod
anterior segment of eyeball;anterior segment eye|anterior eye segment|segmentum anterius (bulbus oculi)|anterior segment of eye|anterior segment of the eye|eye anterior segment|segmentum anterius bulbi oculi
cochlea;lagena|cochlear part of bony labyrinth|cochlear organ|lagenas|cochlear duct|cochleae
brain white matter;white matter of neuraxis of brain|brain white matter of neuraxis|brain white substance|white matter of brain|white substance of brain
melanocyte of eyelid;eyelid melanocyte|sebaceous gland of wolff
main group molecular entity;
epithelium of stomach;stomach epithelial tissue|ventriculus epithelial tissue|stomach epithelium|epithelium of ventriculus|ventriculus epithelium|epithelial tissue of stomach|epithelial tissue of ventriculus|gastric epithelium
endometrium glandular epithelium;glandular part of endometrium|uterine glands set|uterine glands
trophoblast cell;trophoblastic cell
detection of temperature stimulus;
KLRB1-like protein;
gamete generation;
eosinophil progenitor cell;EoP|colony forming unit eosinophil|eosinophil stem cell|CFU-Eo
trunk ganglion;trunk ganglia|body ganglion
hemocyte (sensu Nematoda and Protostomia);
decreased size;
active chief cell of parathyroid gland;
foreskin fibroblast;BJ fibroblast
hindbrain;rhombencephalon
encapsulation of foreign target;
sense organ;organ of sensory organ system|sensory organ system organ|organ of sensory system|organ of sense organ system|sense organ system organ|sensory system organ|sensory organ|sensillum|Sinnesorgan|sensor
cell development;
luminal cell of lactiferous duct;
musculature of pes;set of muscles of foot|musculature of foot|muscle group of foot|foot musculature
dermis connective tissue;dermis portion of connective tissue|textus connectivus of dermis|portion of connective tissue of dermis|dermis textus connectivus|connective tissue of dermis
dentate gyrus of hippocampal formation;area dentata|dentate gyrus|dentate area (dentate gyrus)|fascia dentata|hippocampal dentate gyrus|gyrus dentatus|dentate area
synovial membrane of synovial joint;synovial layer|synovium|synovial membrane|stratum synoviale|membrana synovialis (capsula articularis)|stratum synoviale (capsula articularis)|membrana synovialis capsulae articularis|synovial membrane of articular capsule of synovial joint|synovium of articular capsule of synovial joint|synovial layer of articular capsule of synovial joint
basophilic;
Tachyglossidae;echidnas
Bm3-delta B cell;Bm3-delta B lymphocyte|Bm3-delta B-cell|Bm3-delta B-lymphocyte
metencephalon;epencephalon|epencephalon-2
mesothelial cell of anterior chamber of eye;
organ subunit;organ region with fixed fiat boundary|segment of organ|organ segment
megakaryocyte;megacaryocyte|megalokaryocyte|megalocaryocyte
organ component layer;
synovial joint of pectoral girdle;pectoral girdle joint|joint of shoulder girdle
microvascular endothelium;
type 3 cone bipolar cell (sensu Mus);DB2 cone bipolar cell
macula of utricle of membranous labyrinth;macula of membranous labyrinth utricle|utriculus (labyrinthus vestibularis) macula|utricle of membranous labyrinth macula|macula utriculi|utricle macula|macula of utriculus (labyrinthus vestibularis)|macula of utricle|membranous labyrinth utricle macula|macula utricle|macula utriculi|maculae utricle|utricular macula
haemolymphatic fluid;circulating fluid|blood or blood analog
CD115-positive monocyte OR common dendritic progenitor;
Cajal-Retzius cell;
epithelial cell of prostatic acinus;acinar epithelial cell of prostate
appendicular skeletal system;
gland of ocular region;ocular gland|orbital gland
oenocyte;
adrenal cortex;cortex of adrenal gland|adrenal gland cortex|cortex (glandula suprarenalis)|suprarenal cortex|cortex of suprarenal gland|cortex glandulae suprarenalis|suprarenal
brain meninx;meninx of brain|brain meninges|meninges of brain
hemangioblast;
outer renal medulla peritubular capillary;kidney outer medulla peritubular capillary
monocarboxylic acid biosynthetic process;
obsolete trichome;
spleen capsule;splenic capsule|tunica fibrosa splenica|capsule of spleen|capsula splenica|tunica fibrosa (splen)(lien)|fibroelastic coat of spleen|fibrous capsule of spleen|Malpighian capsule
respiratory system blood vessel;blood vessel of respiratory system|blood vessel of apparatus respiratorius|apparatus respiratorius blood vessel
tonsillar macrophage;
outflow tract septum;
kidney arcuate vein;arcuate vein|venae arcuatae renis|arcuate vein of kidney|renal arcuate vein|arciform vein of kidney|arcuate veins
regulation of leukocyte cell-cell adhesion;
heart vasculature;cardiac vasculature
CD4-negative, CD8-negative type I NK T cell;CD4-negative, CD8-negative type I NK T lymphocyte|CD4-negative, CD8-negative type I NK T-cell|CD4-negative, CD8-negative type I NKT cell|CD4-negative, CD8-negative type I NK T-lymphocyte|NKT.4-.Sp
dermal papilla;follicular papilla|dermal papillae|dermal papilla cell|papilla dermis|skin papilla|papillae dermis|papilla corii|papilla dermatis|papilla of corium|hair follicle dermal papilla|hair papilla
dendritic cell;interdigitating cell|veiled cell
arterial system;
embryonic blood vessel endothelial progenitor cell;
brain macroglial cell;
endodermal cell;endoderm cell
mesangial cell;kidney mesangial cell
reticular cell of splenic cord;
T-cell surface glycoprotein CD5;ly-1|CD5|Lyt-1|lymphocyte antigen T1/Leu-1|lymphocyte antigen 1|LEU1
back blood vessel;blood vessel of back
uterine smooth muscle cell;
smooth muscle fiber of descending colon;non-striated muscle fiber of descending colon
mucous cell of stomach;
telencephalon;supratentorial region|cerebrum|endbrain
sensory hair cell;hair cell
epithelium of utricle;epithelium of utricle of membranous labyrinth|utricle epithelium|epithelium of membranous labyrinth utricle|utricle epithelial tissue|utricle of membranous labyrinth epithelial tissue|membranous labyrinth utricle epithelial tissue|epithelial tissue of utriculus (labyrinthus vestibularis)|epithelial tissue of membranous labyrinth utricle|utriculus (labyrinthus vestibularis) epithelium|utriculus (labyrinthus vestibularis) epithelial tissue|epithelium of utriculus (labyrinthus vestibularis)|epithelial tissue of utricle|membranous labyrinth utricle epithelium|epithelial tissue of utricle of membranous labyrinth|utricle of membranous labyrinth epithelium|epithelium of macula of utricle of membranous labyrinth
Platyrrhini;monkeys|monkey|New World monkeys
kidney epithelial cell;
blastoconidium;blastospore
upper leg skin;hindlimb stylopod skin|hind limb stylopod skin|skin of upper leg|thigh skin|skin of thigh
enucleate erythrocyte;red blood cell|RBC
epithelium of female urethra;female urethral epithelium|urethral epithelium of female
organic hydroxy compound metabolic process;
cardiac septum;heart septa|cardiac septa|septum of heart|heart septum|spiral septa
manual digit phalanx pre-cartilage condensation;hand phalanx pre-cartilage condensation|manus phalanx pre-cartilage condensation|forelimb phalanx pre-cartilage condensation|fore limb digit phalanx pre-cartilage condensation|hand digit phalanx pre-cartilage condensation
jejunal mucosa;mucosa of organ of jejunum|jejunal mucous membrane|jejunum organ mucosa|jejunum mucous membrane|mucosa of jejunum|jejunum mucosa|jejunum mucosa of organ|organ mucosa of jejunum|mucous membrane of jejunum
B cell activation involved in immune response;
erythroid lineage cell;erythropoietic cell
positive regulation of immune system process;
system process;
cytoplasmic part;
CD38-positive IgG memory B cell;CD38-positive IgG memory B-lymphocyte|CD38+ IgG memory B-lymphocyte|CD38+ IgG memory B lymphocyte|CD38+ IgG memory B-cell|CD38+ IgG memory B cell|CD38-positive IgG memory B-cell|CD38-positive IgG memory B lymphocyte
craniocervical region musculature;head or neck muscle|head or neck muscle|head muscles
epithelium of male urethra;male urethral epithelium|urethral epithelium of male
proximal metaphysis;proximal diaphyseal end of long bone
ciliary body;ocular ciliary body|ciliary bodies|corpus ciliare|anterior uvea
Sphenodontia;rhynchocephalians|beaked reptiles|Rhynchocephalia|Rhynchosauria
alpha-beta T cell receptor complex;
hindlimb stylopod muscle;muscle of thigh|thigh muscle|upper leg muscle
mandibular neural crest;
female reproductive gland;
luteal cell;lutein cell
dark cell of eccrine sweat gland;
kidney granular cell;juxtaglomerular cell|renin secreting cell|JG cell
vascular endothelial growth factor receptor 2;kinase NYK|FLK-1|VEGFR-2|kinase insert domain receptor|protein-tyrosine kinase receptor flk-1|fetal liver kinase 1|CD309|KDR|FLK1
type 2 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth;
capillary;blood capillary|capillary vessel
Caenorhabditis;
regulation of leukocyte migration;
urethra muscle tissue;urethral muscle layer
CD25-positive, CD27-positive immature gamma-delta T cell;
epithelial fate stem cell;
cardiac muscle cell differentiation;
meiotic cell cycle;
myoepithelial cell of dilator pupillae;
kidney collecting duct intercalated cell;
granulocyte monocyte progenitor cell;CFU-C , Colony forming unit in culture|granulocyte-macrophage progenitor|granulocyte/monocyte precursor|colony forming unit granulocyte macrophage|CFU-GM|GMP|granulocyte/monocyte progenitor
positive regulation of epithelial cell proliferation involved in wound healing;
obsolete non-visual cell (sensu Vertebrata);
broad ligament of uterus;broad uterine ligament|ligamentum latum uteri|broad ligament
precursor B cell;pre-B cell
T cell;T-lymphocyte|T-cell|T lymphocyte|mature T cell|immature T cell
duct of sebaceous gland;sebaceous gland duct
mesothelium;
eosinophilic myelocyte;
sebaceous gland;glandula sebacea|glandula sebaceae|sebaceous follicle
lymphocyte antigen 75;CD205|C-type lectin domain family 13 member B|ly-75|LY75|gp200-MR6|DEC-205|CLEC13B
pelvic girdle bone/zone;bone of pelvic girdle|pelvic girdle bone
electrically signaling cell;
organismal quality;
medulla oblongata;bulb|medulla|bulbus|metepencephalon|medulla oblonzata
obsolete cell by function;
lymph node follicle;follicle of lymph node
open tracheal system tracheocyte;
ovarian microvascular endothelial cell;
strand of hair of face;hair of face|face hair strand|face hair|facial hair
neural fold;medullary fold
regulation of protein secretion;
tetraspanin;
oral mucosa squamous cell;oral cavity mucosa squamous cell|oral mucosa squamous epithelial cell|oral cavity mucosa squamous epithelial cell|oral mucosa squamous epithelial cells
musculature of pelvic complex;musculature of lower limb|musculi membri inferioris|muscles of lower limb
pancreatic duct;duct of pancreas|pancreas duct|ductus pancreaticus
vascular plexus;plexus vasculosus
non-secretory ribonuclease;eosinophil-derived neurotoxin|ribonuclease US|RNase UpI-2|RNase 2|MR-4|RNASE2|ribonuclease 2|eosinophil cationic-type ribonuclease 4|EDN|RNS2|Ear4
thoracic cavity element;thoracic cavity organ
ciliary epithelium;epithelium of ciliary body|ocular ciliary epithelium|ciliary body epithelium
Sphenodon punctatus;hatteria|tuatara|Hatteria punctata
NKGA2-positive natural killer cell;NK.G2A+.SP
enterocyte of epithelium proper of duodenum;
embryonic autopod plate;limb plate|autopod plate
stratum granulosum cell;
early growth response protein 2;EGR2|AT591|EGR-2|zinc finger protein Krox-20|KROX20|Zfp-25|Krox-20
axial musculature;
integrin alpha lacking A domain;
thyroid hormone secreting cell;
lower urinary tract cell;
thoracic segment connective tissue;thorax portion of connective tissue|textus connectivus of thorax|portion of connective tissue of thorax|thorax textus connectivus|connective tissue of thorax|thorax connective tissue|upper body connective tissue
skeleton of manus;manus skeleton|bones of hand|fore autopod skeleton|anterior autopodium skeleton|skeleton of hand|set of bones of hand|forelimb autopod skeleton|hand region skeleton|manual skeleton|hand skeleton|ossa manus|manus|anterior autopodium
femur pre-cartilage condensation;femoral pre-cartilage condensation
layer of sclera;
visible light photoreceptor cell;
chromaffin paraganglion;paraganglion|chromaffin paraganglion|chromaffin paraganglia|chromaffin body
activated CD4-positive type I NK T cell;activated CD4-positive type I NK T-lymphocyte|activated CD4-positive type I NK T-cell|activated CD4-positive type I NK T lymphocyte|activated CD4-positive type I NKT cell
thoracic segment bone;bone of thorax|thorax bone|bone organ of thorax|thorax bone organ|upper body bone
organic substance transport;
obsolete cerebellum Golgi cell;
forelimb connective tissue;connective tissue of anteriormost limb|connective tissue of fore limb|connective tissue of superior member|connective tissue of forelimb|connective tissue of upper extremity|wing connective tissue
fundus of stomach;gastric fundus|stomach fundus|fundus gastricus (ventricularis)|fundus ventriculi|fundus gastricus|fundus gastricus ventricularis|fundus ventricularis
manus connective tissue;connective tissue of hand|connective tissue of terminal segment of free upper limb|hand connective tissue
uterus;
preputial swelling of male;prepuce of male
lower respiratory tract;
mandibular prominence;prominentia mandibularis|mandibular process|mandibular swelling
abdomen element;abdomen organ
secondary spermatocyte;
digestive system element;digestive organ|digestive system organ
pre-chordal neural plate;anterior neural plate
submucosa of cystic duct;cystic ductal submucosa|cystic duct submucosa
integrin alpha-IIb;GPalpha IIb|platelet membrane glycoprotein IIb|GPIIb|CD41|ITGA2B|ITGAB|GP2B
endocardial cell;endocardial endothelial cell|endothelial cell of endocardium
slow muscle cell;slow muscle fiber
pharyngeal arch mesenchyme from neural crest;neural crest derived arch mesenchyme|branchial arch mesenchyme from neural crest|arch mesenchyme from neural crest
segment of manus;hand region|hand subdivision|segment of hand|subdivision of hand|regio manus
loop of Henle ascending limb thin segment;thin ascending limb of loop of Henle|thin ascending limb|ascending thin limb|ascending limb thin segment of loop of Henle|pars ascendens (tubulus attenuatus)
transitional epithelial cell;
fibroblast of subepithelial connective tissue of prostatic gland;
gamma-delta T cell receptor complex;
brain ventricle/choroid plexus;
fibroblast of mammary gland;
skeletal muscle tissue of pectoralis major;skeletal muscle tissue of pectoralis major muscle
mature B cell differentiation involved in immune response;
odontoclast;
enterocyte of epithelium of duodenal gland;
transmembrane signaling receptor activity;
raphe nuclei neuron;
brown fat cell;brown adipose cell|brown adipocyte
male organism;male human body|male
tonsil capsule;
B-1a B cell;CD5-positive B1 cell|B1a B-cell|B-1a B lymphocyte|B1a cell|B-1a B-lymphocyte|B-1a B-cell|B1a B-lymphocyte|B1a B lymphocyte|B1a B cell|CD5+ B1 cell|CD5(+) B1 cell
auditory hillocks, pharyngeal arch 1 derived;
reactive oxygen species metabolic process;
epiphysis of phalanx of pes;epiphysis of phalanx of toe
macrophage receptor MARCO;macrophage receptor with collagenous structure|MARCO|scavenger receptor class A member 2|SCARA2
jejunum;intestinum jejunum|mid-intestine|middle intestine
positive regulation of cellular process;
artery wall;wall of artery|arterial wall
mature B cell;mature B-lymphocyte|mature B lymphocyte|mature B-cell
glycosaminoglycan secreting cell;GAG secreting cell|hyaluronic acid secreting cell
cartilaginous joint suture;cranial suture of articulatio cartilaginea|articulatio cartilaginea suture of cranium|suture of cranium of cartilaginous joint|cranium suture of articulatio cartilaginea|cranium suture of cartilaginous joint|cranial sutures set of cartilaginous joint|cranial sutures set of articulatio cartilaginea|cranial sutures of cartilaginous joint|cartilaginous joint cranial suture|cranial suture of cartilaginous joint|articulatio cartilaginea cranial suture|cartilaginous joint cranial sutures|cartilaginous joint cranial sutures set|cranial sutures of articulatio cartilaginea|cartilaginous joint cranium suture|articulatio cartilaginea cranium suture|articulatio cartilaginea cranial sutures|articulatio cartilaginea cranial sutures set|suture of cranium of articulatio cartilaginea|cartilaginous joint suture of cranium
basal cell;
CD8_alpha-negative CD11b-negative dendritic cell;DC.8-4-11b-|triple negative dendritic cell
lamina of spiral limbus;limbus laminae spiralis|limbus laminae spiralis osseae|spiral limbus lamina|limbus lamina spiralis|spiral limbus
tormogen cell;socket cell
head connective tissue;head portion of connective tissue|adult head textus connectivus|adult head portion of connective tissue|connective tissue of head|textus connectivus of adult head|head textus connectivus|portion of connective tissue of head|connective tissue of adult head|adult head connective tissue|textus connectivus of head|portion of connective tissue of adult head
mesothelium of serous pericardium;serous pericardium mesothelium|pericardial mesothelium|mesothelium of pericardium
head sensillum;
distal straight tubule postmacula segment;renal cortex thick ascending limb|renal cortex loop of Henle ascending limb thick segment|kidney cortex loop of Henle ascending limb thick segment|cortical thick ascending limb of Henle's loop
peritoneal cavity;saccus serosus peritonei|cavitas peritonealis
langerin-negative, CD103-negative lymph node dendritic cell;
gonadotropin releasing neuron;GnRH neuron|GnRH-secreting neuron
primitive sex cord of indifferent gonad;primitive sex cords|indifferent sex cord
amniocyte;
submucosa of duodenum;duodenal submucosa|doudenal submucosa|duodenum submucosa
serosa of uterus;tunica serosa uteri|uterus serous membrane|serous membrane of uterus|perimetrium|uterus serosa|tunica serosa (perimetrium)|serous coat of uterus|visceral peritoneum of uterus|uterine serosa
cell;
melanoblast;
trachea basement membrane;
obsolete pstAB/ALC;
proximal convoluted tubule;tubulus contortus proximalis|proximal convoluted renal tubule|tubulus contortus proximalis|1st convoluted tubule|kidney proximal convoluted tubule|first convoluted tubule|renal proximal convoluted tubule|tubulus convolutus proximalis|PCT
metanephric S-shaped body;
manus nerve;nerve of manus|hand nerve|nerve of hand
DNA nucleotidylexotransferase;terminal addition enzyme|terminal deoxynucleotidyltransferase|DNTT|TDT|terminal transferase
external male genitalia;external male genital organ|male external genitalia|organa genitalia masculina externa
Amniota;amniotes
humerus endochondral element;humerus skeletal element|humerus element
respiratory system elastic tissue;textus connectivus elasticus of respiratory system|elastic connective tissue of apparatus respiratorius|apparatus respiratorius elastic connective tissue|textus connectivus elasticus of apparatus respiratorius|apparatus respiratorius elastic tissue|elastic tissue of apparatus respiratorius|respiratory system textus connectivus elasticus|apparatus respiratorius textus connectivus elasticus|elastic tissue of respiratory system|elastic connective tissue of respiratory system|respiratory system elastic connective tissue
mesenchyme of shoulder;shoulder mesenchyme
mammary gland;lactiferous gland|glandula mammaria|lobe of breast|milk patch|lobe of mammary gland|Brustdruese|glandula mammaria|mammae|mamma|dug
transitional myocyte of posterior division of left branch of atrioventricular bundle;
microtubule-based process;
catecholamine secretion;
polyphenol;
garland cell;garland nephrocyte
lens of camera-type eye;lens crystallina|eye lens|lens|camera-type eye lens|crystalline lens|ocular lens|lenses
dorsal trunk;dorsal part of trunk|dorsum of trunk|back of trunk|trunk back
immune response in mucosal-associated lymphoid tissue;
regulation of granulocyte chemotaxis;
epithelium of trachea;epithelial tissue of trachea|epithelium of windpipe|trachea epithelial tissue|windpipe epithelium|epithelial tissue of windpipe|tracheal epithelium|windpipe epithelial tissue|trachea epithelium
forebrain neural plate;
renal glomerulus;glomerulus|renal glomeruli|glomerulus renis|glomerular tuft|Malpighian tuft|Malpighian glomerulus|Malphigian glomerulus|glomerular capillary tuft|renal corpuscle
semicircular canal ampulla;ampullae osseae|semicircular duct ampulla|membraneous ampulla of the semicircular duct
thymocyte;immature T-cell|immature T cell|immature T lymphocyte|immature T-lymphocyte|thymic lymphocyte
serous secreting cell;serous cell
